SchemaName,DisplayName,DataType,RequiredLevel,MaxLength,Precision,IsPrimaryName,IsAlternateKey,Description
clm_name,Name,SingleLineOfText,ApplicationRequired,250,,Yes,No,"Friendly label, e.g. AT-CRM-Integration / secret#2."
clm_externalid,External Id,SingleLineOfText,ApplicationRequired,400,,No,Yes,"Stable hash used for upsert: {source}|{tenant}|{objectId}|{keyId}."
clm_sourcesystem,Source System,Choice,ApplicationRequired,,,No,No,"Which control plane the credential lives in. Option set: clm_sourcesystem."
clm_credentialtype,Credential Type,Choice,ApplicationRequired,,,No,No,"What kind of secret. Option set: clm_credentialtype."
clm_objectid,Object Id,SingleLineOfText,Recommended,200,,No,No,"Entra application id, Key Vault object id, Power Pages site id, etc."
clm_keyid,Key Id,SingleLineOfText,Optional,200,,No,No,"Sub-identifier when one object holds multiple credentials (e.g. passwordCredential.keyId)."
clm_displayname,Source Display Name,SingleLineOfText,Recommended,400,,No,No,"Display name of the source object at discovery time."
clm_environment,Environment / Subscription,SingleLineOfText,Recommended,200,,No,No,"Power Platform environment id, Azure subscription id, or tenant id."
clm_environmentref,Source Environment,Lookup,Optional,,,No,No,"Lookup to clm_sourceenvironment for richer scoping."
clm_tenantid,Tenant Id,SingleLineOfText,Recommended,100,,No,No,"AAD tenant the source belongs to."
clm_expirydate,Expiry Date,DateTime,ApplicationRequired,,,No,No,"UTC datetime the credential expires. Searchable for fast filtering."
clm_notbeforedate,Not Before,DateTime,Optional,,,No,No,"UTC datetime the credential becomes valid."
clm_daysuntilexpiry,Days Until Expiry,Calculated (Whole Number),Optional,,0,No,No,"DiffInDays(Now(), clm_expirydate). Recomputed on read."
clm_status,Status,Choice,ApplicationRequired,,,No,No,"Lifecycle status. Option set: clm_credentialstatus."
clm_owneruser,Owner (User),Lookup,Recommended,,,No,No,"Resolved owner systemuser. Populated by owner-resolver child flow."
clm_ownerteam,Owner (Team),Lookup,Optional,,,No,No,"Owning team for shared accountability."
clm_ownerlocked,Owner Locked,TwoOptions,Optional,,,No,No,"When Yes, discovery flows do not overwrite owner fields."
clm_managerid,Manager (User),Lookup,Optional,,,No,No,"Escalation target. Refreshed from Graph /manager weekly."
clm_lastdiscoveredon,Last Discovered On,DateTime,Optional,,,No,No,"Updated by every discovery flow run that sees this credential."
clm_lastreminderon,Last Reminder On,DateTime,Optional,,,No,No,"Last time a Teams/email reminder was sent."
clm_remindersent,Reminders Sent,MultiSelectChoice,Optional,,,No,No,"Buckets already notified. Option set: clm_reminderbucket."
clm_renewalticketurl,Renewal Ticket URL,Url,Optional,500,,No,No,"Deep link to Planner task / DevOps work item created when owner clicks 'I'll renew'."
clm_sourceportalurl,Source Portal URL,Url,Optional,500,,No,No,"Deep link to manage the credential in its native portal."
clm_riskscore,Risk Score,WholeNumber,Optional,,0,No,No,"0-100. Higher = more critical (production app, no fallback auth, etc.)."
clm_notes,Notes,MultipleLinesOfText,Optional,4000,,No,No,"Free text notes from ops team."
clm_suppresseduntil,Suppressed Until,DateTime,Optional,,,No,No,"If set, reminders are skipped until this date (used for decommissioned items pending cleanup)."
